task_id,n_train,n_test,n_test_with_output,input_height_max,input_width_max,input_cells_max,output_height_max,output_width_max,output_cells_max,n_input_colours,n_output_colours,introduces_colours,removes_colours,objects_input_mean,objects_output_mean,size_relation,output_shape_varies,few_demonstrations,large_grid,split
a096bf4d,3,1,1,26,26,676,26,26,676,9,9,False,False,43.0,49.0,same,True,False,True,kaggle_training
a09f6c25,3,2,2,28,27,756,28,27,756,4,6,True,True,14.4,9.6,same,True,False,True,kaggle_training
a1570a43,4,1,1,10,10,90,10,10,90,3,3,False,False,5.0,5.0,same,True,False,False,kaggle_training
a1aa0c1e,3,1,1,21,21,441,3,5,15,10,10,False,False,5.0,4.75,smaller,False,False,True,kaggle_training
a2d730bd,3,1,1,30,30,900,30,30,900,5,5,False,False,6.0,15.75,same,True,False,True,kaggle_training
a2fd1cf0,3,1,1,15,16,225,15,16,225,3,4,True,False,2.0,3.0,same,True,False,False,kaggle_training
a3325580,6,1,1,10,10,100,9,3,18,10,8,False,True,3.429,2.143,smaller,True,False,False,kaggle_training
a3f84088,4,1,1,30,30,900,30,30,900,2,3,True,False,1.0,5.6,same,True,False,True,kaggle_training
a406ac07,3,1,1,10,10,100,10,10,100,8,8,False,False,8.5,12.25,same,False,False,False,kaggle_training
a416b8f3,3,1,1,5,4,20,5,8,40,8,8,False,False,5.5,11.0,larger,True,False,False,kaggle_training
a416fc5b,3,1,1,11,11,121,16,16,256,5,5,False,False,30.0,31.75,inconsistent,True,False,False,kaggle_training
a48eeaf7,2,1,1,10,10,100,10,10,100,3,3,False,False,4.667,4.333,same,False,True,False,kaggle_training
a5313dff,3,1,1,12,12,144,12,12,144,2,3,True,False,2.75,4.5,same,True,False,False,kaggle_training
a57f2f04,3,1,1,26,22,572,26,22,572,6,6,False,False,5.0,9.5,same,True,False,True,kaggle_training
a59b95c0,5,1,1,3,3,9,12,12,144,8,8,False,False,5.333,56.167,larger,True,False,False,kaggle_training
a5f85a15,3,1,1,12,12,144,12,12,144,5,6,True,False,10.75,10.75,same,True,False,False,kaggle_training
a61ba2ce,2,1,1,13,13,169,4,4,16,7,7,False,False,4.0,4.0,smaller,False,True,False,kaggle_training
a61f2674,2,1,1,9,9,81,9,9,81,2,3,True,True,4.333,2.0,same,False,True,False,kaggle_training
a644e277,2,1,1,19,22,396,11,11,81,6,6,False,False,65.333,12.333,smaller,True,True,True,kaggle_training
a64e4611,3,1,1,30,30,900,30,30,900,5,6,True,False,68.0,69.0,same,False,False,True,kaggle_training
a65b410d,3,1,1,9,9,81,9,9,81,2,4,True,False,1.0,3.0,same,True,False,False,kaggle_training
a680ac02,3,1,1,24,22,528,12,12,48,7,5,False,True,4.75,2.5,smaller,True,False,True,kaggle_training
a68b268e,6,1,1,9,9,81,4,4,16,6,5,False,True,10.857,7.143,smaller,False,False,False,kaggle_training
a6953f00,3,1,1,8,8,64,2,2,4,10,9,False,True,20.5,3.5,smaller,False,False,False,kaggle_training
a699fb00,3,1,1,10,10,100,10,10,100,2,3,True,False,9.25,14.5,same,True,False,False,kaggle_training
a740d043,3,1,1,7,7,49,3,3,9,5,5,True,True,3.5,2.5,smaller,True,False,False,kaggle_training
a78176bb,3,1,1,10,10,100,10,10,100,6,5,False,True,9.75,17.0,same,False,False,False,kaggle_training
a79310a0,3,1,1,5,5,25,5,5,25,2,2,True,True,1.0,1.0,same,True,False,False,kaggle_training
a834deea,3,1,1,16,16,256,16,16,256,2,10,True,False,5.25,14.5,same,True,False,False,kaggle_training
a85d4709,4,1,1,3,3,9,3,3,9,2,3,True,True,2.6,2.6,same,False,False,False,kaggle_training
a8610ef7,4,1,1,6,6,36,6,6,36,2,3,True,True,3.8,10.8,same,False,False,False,kaggle_training
a87f7484,4,1,1,15,15,45,3,3,9,9,5,False,True,11.4,2.4,smaller,False,False,False,kaggle_training
a8c38be5,2,1,1,16,15,240,9,9,81,10,9,False,True,17.0,9.0,smaller,False,True,False,kaggle_training
a8d7556c,3,1,1,18,18,324,18,18,324,2,3,True,False,17.0,21.5,same,False,False,False,kaggle_training
a934301b,3,1,1,14,15,196,14,15,196,3,3,False,False,17.5,5.25,same,True,False,False,kaggle_training
a9f96cdd,4,1,1,3,5,15,3,5,15,2,5,True,True,1.0,2.6,same,False,False,False,kaggle_training
aa18de87,4,1,1,5,12,60,5,12,60,6,7,True,False,8.2,9.8,same,True,False,False,kaggle_training
aa300dc3,4,1,1,10,10,100,10,10,100,2,3,True,False,1.0,8.2,same,False,False,False,kaggle_training
aa62e3f4,2,1,1,16,16,256,16,16,256,5,4,False,True,6.667,8.333,same,True,True,False,kaggle_training
aab50785,5,1,1,15,17,255,8,6,32,10,9,False,True,75.5,9.833,smaller,True,False,False,kaggle_training
aabf363d,2,1,1,7,7,49,7,7,49,6,4,False,True,2.0,1.0,same,False,True,False,kaggle_training
aaecdb9a,3,1,1,10,10,100,6,5,30,6,6,False,False,12.0,5.0,smaller,True,False,False,kaggle_training
aaef0977,2,1,1,8,8,64,8,8,64,4,9,True,True,1.667,59.333,same,False,True,False,kaggle_training
aba27056,3,1,1,10,10,100,10,10,100,5,6,True,False,1.0,5.25,same,True,False,False,kaggle_training
abbfd121,3,1,1,23,22,506,10,12,100,10,9,False,True,207.5,46.0,smaller,True,False,True,kaggle_training
ac0a08a4,3,1,1,3,3,9,15,15,225,9,9,False,False,3.5,3.5,larger,True,False,False,kaggle_training
ac0c2ac3,3,1,1,13,13,169,13,13,169,10,9,False,True,5.75,4.75,same,True,False,False,kaggle_training
ac0c5833,3,1,1,30,30,900,30,30,900,3,3,False,False,19.25,26.25,same,True,False,True,kaggle_training
ac2e8ecf,3,1,1,16,17,272,16,17,272,6,6,False,False,5.75,5.75,same,True,False,False,kaggle_training
ac3e2b04,4,1,1,16,18,288,16,18,288,3,4,True,False,7.2,15.2,same,True,False,False,kaggle_training
ac605cbb,6,1,1,11,11,121,11,11,121,5,7,True,False,2.429,9.857,same,True,False,False,kaggle_training
ac6f9922,3,1,1,19,19,361,3,3,9,7,7,False,False,11.0,4.75,smaller,True,False,False,kaggle_training
ad173014,3,1,1,27,27,729,27,27,729,8,8,False,False,12.75,12.75,same,True,False,True,kaggle_training
ad38a9d0,2,1,1,9,9,81,9,9,81,2,7,True,True,8.667,8.667,same,False,True,False,kaggle_training
ad3b40cf,3,1,1,17,17,289,17,17,289,7,7,False,False,15.0,17.0,same,True,False,False,kaggle_training
ad7e01d0,4,1,1,5,5,25,25,25,625,5,5,False,False,5.6,27.2,larger,True,False,True,kaggle_training
ae3edfdc,3,1,1,15,15,225,15,15,225,5,5,False,False,8.0,8.0,same,False,False,False,kaggle_training
ae4f1146,4,1,1,9,9,81,3,3,9,3,2,False,True,16.0,4.8,smaller,False,False,False,kaggle_training
ae58858e,4,1,1,10,12,120,10,12,120,2,3,True,False,6.8,6.8,same,True,False,False,kaggle_training
aedd82e4,4,1,1,5,4,20,5,4,20,2,3,True,False,3.2,3.2,same,True,False,False,kaggle_training
aee291af,3,1,1,18,18,324,5,5,25,3,2,False,True,30.0,3.0,smaller,True,False,False,kaggle_training
af24b4cc,3,1,1,9,10,90,4,5,20,10,10,False,False,15.75,5.5,smaller,False,False,False,kaggle_training
af726779,3,3,3,21,24,357,21,24,357,2,3,True,False,7.5,20.833,same,True,False,True,kaggle_training
af902bf9,3,1,1,10,10,100,10,10,100,2,3,True,False,6.0,7.5,same,False,False,False,kaggle_training
afe3afe9,3,1,1,30,30,900,7,7,42,9,8,False,True,29.25,5.75,smaller,True,False,True,kaggle_training
b0722778,2,1,1,11,9,99,11,2,22,10,10,False,False,20.0,6.667,smaller,True,True,False,kaggle_training
b0c4d837,6,1,1,9,9,81,3,3,9,3,2,False,True,2.0,1.0,smaller,False,False,False,kaggle_training
b0f4d537,4,1,1,12,15,180,12,7,84,6,4,False,True,17.2,7.4,smaller,True,False,False,kaggle_training
b15fca0b,5,1,1,10,10,100,10,10,100,3,4,True,False,4.667,5.667,same,True,False,False,kaggle_training
b190f7f5,3,1,1,8,8,32,16,16,256,6,5,False,True,6.5,6.5,larger,True,False,False,kaggle_training
b1948b0a,3,1,1,6,6,24,6,6,24,2,2,True,True,7.0,7.0,same,True,False,False,kaggle_training
b1986d4b,3,1,1,28,28,784,5,30,150,7,7,False,False,64.5,12.25,inconsistent,True,False,True,kaggle_training
b1fc8b8e,5,2,2,6,6,36,5,5,25,2,2,False,False,1.143,4.0,smaller,False,False,False,kaggle_training
b20f7c8b,3,1,1,18,22,396,18,22,396,9,9,False,False,20.75,16.25,same,False,False,True,kaggle_training
b230c067,3,1,1,10,10,100,10,10,100,2,3,True,True,3.75,3.75,same,False,False,False,kaggle_training
b25e450b,3,1,1,18,14,252,18,14,252,3,3,False,False,24.0,13.75,same,True,False,False,kaggle_training
b27ca6d3,2,1,1,17,18,272,17,18,272,2,3,True,False,15.333,17.667,same,True,True,False,kaggle_training
b2862040,4,1,1,16,15,240,16,15,240,2,3,True,False,8.2,8.2,same,True,False,False,kaggle_training
b2bc3ffd,3,1,1,8,8,64,8,8,64,9,9,False,False,4.75,4.75,same,False,False,False,kaggle_training
b457fec5,3,1,1,27,23,621,27,23,621,7,6,False,True,5.25,16.0,same,True,False,True,kaggle_training
b4a43f3b,4,1,1,13,6,78,18,18,324,6,5,False,True,7.2,28.0,larger,False,False,False,kaggle_training
b527c5c6,4,1,1,20,20,400,20,20,400,3,3,False,False,4.0,4.0,same,True,False,False,kaggle_training
b548a754,3,1,1,13,13,169,13,13,169,7,6,False,True,3.0,2.0,same,True,False,False,kaggle_training
b5bb5719,7,1,1,6,12,72,6,12,72,3,3,False,False,3.75,6.5,same,True,False,False,kaggle_training
b60334d2,2,1,1,9,9,81,9,9,81,2,3,True,False,3.667,28.667,same,False,True,False,kaggle_training
b6afb2da,2,1,1,10,10,100,10,10,100,2,4,True,True,2.0,18.0,same,False,True,False,kaggle_training
b71a7747,2,1,1,28,28,784,20,20,400,8,5,False,True,96.333,3.0,smaller,True,True,True,kaggle_training
b7249182,3,1,1,19,18,180,19,18,180,8,8,False,False,2.0,2.0,same,True,False,False,kaggle_training
b7256dcd,2,1,1,7,7,49,7,7,49,7,6,False,True,8.0,4.667,same,True,True,False,kaggle_training
b745798f,3,1,1,15,15,225,15,15,225,10,10,False,False,5.25,4.5,same,True,False,False,kaggle_training
b74ca5d1,3,2,2,30,30,900,30,30,900,10,10,False,False,28.0,38.0,same,False,False,True,kaggle_training
b775ac94,3,1,1,30,30,900,30,30,900,8,8,False,False,9.5,13.5,same,True,False,True,kaggle_training
b782dc8a,2,1,1,15,24,264,15,24,264,6,6,False,False,9.667,56.667,same,True,True,True,kaggle_training
b7955b3c,3,2,2,26,22,572,26,22,572,10,9,False,True,11.6,6.8,same,True,False,True,kaggle_training
b7999b51,3,1,1,19,18,342,6,5,30,8,8,False,False,4.0,3.75,smaller,True,False,False,kaggle_training
b7cb93ac,3,1,1,10,13,130,3,4,12,6,5,False,True,3.5,3.5,smaller,False,False,False,kaggle_training
b7f8a4d8,3,1,1,30,30,900,30,30,900,6,6,False,False,51.5,67.0,same,True,False,True,kaggle_training
b7fb29bc,3,1,1,15,15,225,15,15,225,2,4,True,False,1.5,6.5,same,False,False,False,kaggle_training
b8825c91,4,1,1,16,16,256,16,16,256,9,8,False,True,107.0,110.6,same,False,False,False,kaggle_training
b8cdaf2b,4,1,1,9,9,81,9,9,81,7,7,False,False,4.0,7.6,same,True,False,False,kaggle_training
b91ae062,5,1,1,3,3,9,12,12,144,9,9,False,False,3.833,3.833,larger,True,False,False,kaggle_training
b942fd60,6,1,1,12,12,144,12,12,144,6,6,False,False,10.143,10.143,same,True,False,False,kaggle_training
b94a9452,3,1,1,14,13,182,6,6,36,7,6,False,True,2.0,2.0,smaller,True,False,False,kaggle_training
b9630600,3,1,1,30,30,900,30,30,900,2,2,False,False,7.0,1.0,same,False,False,True,kaggle_training
b9b7f026,3,1,1,16,17,272,1,1,1,9,4,False,True,5.5,1.0,smaller,False,False,False,kaggle_training
ba1aa698,3,1,1,16,25,400,16,7,112,5,5,False,False,8.0,3.0,smaller,True,False,True,kaggle_training
ba26e723,5,1,1,3,17,51,3,17,51,2,3,True,False,1.0,9.0,same,True,False,False,kaggle_training
ba97ae07,4,1,1,13,13,169,13,13,169,9,9,False,False,3.0,3.0,same,True,False,False,kaggle_training
ba9d41b8,3,1,1,19,19,361,19,19,361,8,8,False,False,2.5,18.0,same,True,False,False,kaggle_training
bae5c565,2,1,1,13,13,169,13,13,169,10,10,False,False,9.667,9.333,same,True,True,False,kaggle_training
baf41dbf,3,1,1,16,17,272,16,17,272,3,3,False,False,3.5,3.5,same,True,False,False,kaggle_training
bb43febb,2,1,1,10,10,100,10,10,100,2,3,True,False,2.0,4.0,same,False,True,False,kaggle_training
bb52a14b,3,1,1,22,22,484,22,22,484,4,4,False,False,60.25,66.0,same,False,False,True,kaggle_training
bbb1b8b6,7,2,2,4,9,36,4,4,16,7,6,False,True,3.667,2.222,smaller,False,False,False,kaggle_training
bbc9ae5d,5,1,1,1,12,12,6,12,72,6,6,False,False,1.0,1.0,larger,True,False,False,kaggle_training
bc1d5164,5,1,1,5,7,35,3,3,9,6,6,False,False,4.5,2.333,smaller,False,False,False,kaggle_training
bc4146bd,4,1,1,4,4,16,4,20,80,8,8,False,False,9.0,31.4,larger,False,False,False,kaggle_training
bc93ec48,3,1,1,16,16,256,16,16,256,9,9,False,False,12.5,14.25,same,True,False,False,kaggle_training
bcb3040b,3,1,1,18,18,324,18,18,324,3,4,True,False,25.25,36.5,same,True,False,False,kaggle_training
bd14c3bf,3,1,1,19,19,361,19,19,361,3,3,False,False,8.25,8.25,same,True,False,False,kaggle_training
bd283c4a,2,1,1,10,10,100,10,10,100,7,7,False,False,24.333,4.0,same,False,True,False,kaggle_training
bd4472b8,3,1,1,12,5,60,12,5,60,7,6,False,True,4.5,11.5,same,True,False,False,kaggle_training
bd5af378,4,1,1,10,10,100,10,10,100,6,7,True,False,2.0,12.8,same,True,False,False,kaggle_training
bda2d7a6,3,2,2,8,8,64,8,8,64,9,9,False,False,2.6,2.6,same,True,False,False,kaggle_training
bdad9b1f,2,1,1,6,6,36,6,6,36,3,4,True,False,2.0,5.0,same,False,True,False,kaggle_training
be03b35f,3,1,1,5,5,25,2,2,4,3,2,False,True,4.0,1.0,smaller,False,False,False,kaggle_training
be94b721,4,1,1,9,13,91,4,3,12,9,5,False,True,3.2,1.0,smaller,True,False,False,kaggle_training
beb8660c,3,1,1,11,8,88,11,8,88,10,10,False,False,5.5,5.5,same,True,False,False,kaggle_training
bf32578f,3,1,1,10,10,100,10,10,100,5,5,False,False,4.0,1.0,same,True,False,False,kaggle_training
bf699163,2,1,1,17,18,306,3,3,9,8,4,False,True,14.667,2.0,smaller,False,True,False,kaggle_training
bf89d739,4,1,1,19,17,247,19,17,247,2,3,True,False,5.4,6.4,same,True,False,False,kaggle_training
c074846d,5,2,2,9,11,99,9,11,99,3,4,True,False,2.0,3.0,same,True,False,False,kaggle_training
c0f76784,3,1,1,12,12,144,12,12,144,2,5,True,False,2.75,5.5,same,False,False,False,kaggle_training
c1990cce,3,1,1,1,17,17,17,17,289,2,3,True,False,1.0,30.25,larger,True,False,False,kaggle_training
c1d99e64,3,1,1,27,25,675,27,25,675,5,6,True,False,14.0,15.25,same,True,False,True,kaggle_training
c3202e5a,3,1,1,29,29,841,5,5,25,10,5,False,True,101.5,3.75,smaller,True,False,True,kaggle_training
c35c1b4c,3,1,1,10,10,100,10,10,100,9,9,False,False,24.25,21.5,same,False,False,False,kaggle_training
c3e719e8,3,1,1,3,3,9,9,9,81,8,9,True,False,6.75,25.0,larger,False,False,False,kaggle_training
c3fa4749,3,2,2,30,30,900,30,30,900,10,10,False,False,384.2,371.4,same,True,False,True,kaggle_training
c444b776,2,1,1,19,29,551,19,29,551,9,9,False,False,9.667,34.333,same,True,True,True,kaggle_training
c48954c1,3,1,1,3,3,9,9,9,81,8,8,False,False,7.75,41.5,larger,False,False,False,kaggle_training
c4d1a9ae,2,1,1,10,8,80,10,8,80,8,8,False,False,20.0,34.0,same,False,True,False,kaggle_training
c59eb873,3,1,1,5,5,25,10,10,100,8,8,False,False,4.25,4.25,larger,True,False,False,kaggle_training
c6141b15,3,1,1,16,16,256,16,16,256,7,7,False,False,9.0,9.5,same,True,False,False,kaggle_training
c61be7dc,3,1,1,19,19,361,19,19,361,3,3,False,False,7.75,6.5,same,True,False,False,kaggle_training
c62e2108,3,1,1,24,24,576,24,24,576,6,5,False,True,5.5,1.75,same,True,False,True,kaggle_training
c64f1187,2,1,1,20,20,360,11,14,121,8,6,False,True,30.667,9.0,smaller,True,True,False,kaggle_training
c658a4bd,2,1,1,19,19,361,10,10,100,7,6,False,True,6.0,4.667,smaller,True,True,False,kaggle_training
c6e1b8da,3,1,1,20,20,400,20,20,400,8,8,False,False,4.5,4.5,same,False,False,False,kaggle_training
c7d4e6ad,2,1,1,10,10,100,10,10,100,9,8,False,True,4.0,6.0,same,False,True,False,kaggle_training
c803e39c,3,1,1,7,30,210,25,25,625,9,5,False,True,7.5,20.5,mixed,True,False,True,kaggle_training
c87289bb,4,1,1,10,15,150,10,15,150,3,3,False,False,6.2,5.4,same,True,False,False,kaggle_training
c8b7cc0f,3,1,1,9,9,81,3,3,9,6,5,False,True,9.5,1.0,smaller,False,False,False,kaggle_training
c8cbb738,3,1,1,18,19,342,7,7,49,7,7,False,False,13.25,13.0,smaller,True,False,False,kaggle_training
c8f0f002,3,1,1,3,6,18,3,6,18,3,3,True,True,7.25,7.25,same,True,False,False,kaggle_training
c909285e,3,1,1,28,28,784,7,7,49,8,7,False,True,115.5,7.25,smaller,False,False,True,kaggle_training
c920a713,3,1,1,25,25,625,13,13,169,10,9,False,True,16.25,5.75,smaller,True,False,True,kaggle_training
c92b942c,4,1,1,5,6,25,15,18,225,5,7,True,False,1.4,46.4,larger,True,False,False,kaggle_training
c9680e90,3,1,1,11,11,121,11,11,121,5,4,False,True,13.25,10.0,same,True,False,False,kaggle_training
c97c0139,2,1,1,21,22,462,21,22,462,2,3,True,False,2.0,6.0,same,True,True,True,kaggle_training
c9e6f938,3,1,1,3,3,9,3,6,18,2,2,False,False,1.5,2.25,larger,False,False,False,kaggle_training
c9f8e694,2,1,1,12,12,144,12,12,144,8,7,False,True,8.0,13.333,same,False,True,False,kaggle_training
ca8de6ea,3,1,1,5,5,25,3,3,9,10,9,False,True,9.0,9.0,smaller,False,False,False,kaggle_training
caa06a1f,3,1,1,18,18,324,18,18,324,7,6,False,True,67.75,136.25,same,True,False,False,kaggle_training
cad67732,3,1,1,10,10,100,20,20,400,8,8,False,False,12.75,27.0,larger,True,False,False,kaggle_training
cb227835,3,1,1,13,14,182,13,14,182,2,3,True,False,2.0,11.0,same,True,False,False,kaggle_training
cbded52d,3,1,1,8,8,64,8,8,64,8,8,False,False,13.5,16.5,same,False,False,False,kaggle_training
cc9053aa,3,1,1,9,9,81,9,9,81,4,4,False,False,4.75,4.5,same,True,False,False,kaggle_training
ccd554ac,6,1,1,5,5,25,25,25,625,6,6,False,False,2.0,12.714,larger,True,False,True,kaggle_training
cce03e0d,3,1,1,3,3,9,9,9,81,3,3,False,False,5.0,15.5,larger,False,False,False,kaggle_training
cd3c21df,3,1,1,13,13,169,4,3,6,9,5,False,True,8.0,2.0,smaller,True,False,False,kaggle_training
cdecee7f,3,1,1,10,10,100,3,3,9,10,10,False,False,7.75,7.5,smaller,False,False,False,kaggle_training
ce039d91,4,1,1,10,10,100,10,10,100,2,3,True,False,8.6,11.6,same,False,False,False,kaggle_training
ce22a75a,2,1,1,9,9,81,9,9,81,2,2,True,True,3.667,2.0,same,False,True,False,kaggle_training
ce4f8723,4,1,1,9,4,36,4,4,16,4,2,True,True,8.2,2.0,smaller,False,False,False,kaggle_training
ce602527,4,1,1,19,18,324,5,5,25,6,6,False,False,5.8,4.6,smaller,True,False,False,kaggle_training
ce8d95cc,4,1,1,12,13,156,7,9,63,9,9,False,False,10.8,10.8,smaller,True,False,False,kaggle_training
ce9e57f2,3,1,1,11,9,99,11,9,99,2,3,True,False,4.0,8.0,same,True,False,False,kaggle_training
cf133acc,3,1,1,15,15,225,15,15,225,10,10,False,False,10.75,6.25,same,False,False,False,kaggle_training
cf5fd0ad,3,1,1,3,3,9,12,12,144,7,7,False,False,4.0,46.75,larger,False,False,False,kaggle_training
cf98881b,5,1,1,4,14,56,4,4,16,5,4,False,True,10.5,6.0,smaller,False,False,False,kaggle_training
cfb2ce5a,3,1,1,10,10,100,10,10,100,10,10,False,False,9.75,16.0,same,False,False,False,kaggle_training
d017b73f,4,1,1,3,11,33,3,9,27,7,7,False,False,3.4,3.2,smaller,True,False,False,kaggle_training
d037b0a7,3,1,1,3,3,9,3,3,9,7,7,False,False,2.75,2.75,same,False,False,False,kaggle_training
d06dbe63,2,1,1,13,13,169,13,13,169,2,3,True,False,1.0,3.0,same,False,True,False,kaggle_training
d07ae81c,3,1,1,19,19,323,19,19,323,6,6,False,False,8.25,52.75,same,True,False,False,kaggle_training
d0f5fe59,3,1,1,16,12,180,5,5,25,2,2,False,False,3.5,3.5,smaller,True,False,False,kaggle_training
d10ecb37,3,1,1,12,8,72,2,2,4,8,8,False,False,29.25,3.5,smaller,False,False,False,kaggle_training
d13f3404,3,1,1,3,3,9,6,6,36,8,8,False,False,3.0,14.0,larger,False,False,False,kaggle_training
d19f7514,4,1,1,12,4,48,6,4,24,3,2,True,True,6.8,2.0,smaller,False,False,False,kaggle_training
d22278a0,4,1,1,17,17,289,17,17,289,6,6,False,False,2.4,14.0,same,True,False,False,kaggle_training
d23f8c26,3,1,1,7,7,49,7,7,49,10,8,False,True,10.0,2.75,same,True,False,False,kaggle_training
d255d7a7,3,1,1,20,20,400,20,20,400,3,3,False,False,10.5,6.5,same,True,False,False,kaggle_training
d282b262,3,1,1,15,15,225,15,15,225,10,10,False,False,35.25,35.0,same,False,False,False,kaggle_training
d2abd087,3,1,1,10,10,100,10,10,100,2,3,True,True,5.25,5.25,same,False,False,False,kaggle_training
d2acf2cb,3,1,1,10,9,90,10,9,90,5,5,False,False,15.5,18.5,same,True,False,False,kaggle_training
d304284e,2,1,1,23,28,644,23,28,644,2,3,True,False,2.0,24.0,same,False,True,True,kaggle_training
d364b489,2,1,1,10,10,100,10,10,100,2,6,True,False,6.0,26.0,same,False,True,False,kaggle_training
d37a1ef5,3,1,1,13,12,156,13,12,156,3,3,False,False,4.25,4.25,same,True,False,False,kaggle_training
d406998b,4,1,1,3,17,51,3,17,51,2,3,True,False,13.2,13.2,same,True,False,False,kaggle_training
d43fd935,3,1,1,10,10,100,10,10,100,7,7,False,False,8.5,8.5,same,False,False,False,kaggle_training
d4469b4b,7,2,2,5,5,25,3,3,9,4,2,True,True,4.333,1.0,smaller,False,False,False,kaggle_training
d47aa2ff,3,1,1,10,21,210,10,10,100,8,9,True,True,17.5,10.0,smaller,False,False,True,kaggle_training
d492a647,2,1,1,15,17,255,15,17,255,5,5,False,False,11.333,42.333,same,True,True,False,kaggle_training
d4a91cb9,3,1,1,12,13,156,12,13,156,3,4,True,False,2.0,3.0,same,True,False,False,kaggle_training
d4b1c2b1,7,1,1,3,3,9,15,15,225,8,8,False,False,3.5,3.5,inconsistent,True,False,False,kaggle_training
d4c90558,3,1,1,25,25,625,4,8,24,9,8,False,True,15.25,3.0,smaller,True,False,True,kaggle_training
d4f3cd78,2,1,1,10,10,100,10,10,100,2,3,True,False,1.0,2.0,same,False,True,False,kaggle_training
d511f180,3,1,1,5,5,25,5,5,25,9,9,False,False,10.75,10.75,same,True,False,False,kaggle_training
d56f2372,3,1,1,22,20,440,6,9,54,8,5,False,True,11.5,2.0,smaller,True,False,True,kaggle_training
d5c634a2,7,2,2,15,15,225,3,6,18,2,3,True,True,4.556,4.556,inconsistent,False,False,False,kaggle_training
d5d6de2d,3,2,2,25,25,625,25,25,625,2,2,True,True,2.2,1.8,same,True,False,True,kaggle_training
d631b094,4,1,1,3,3,9,1,5,5,6,5,False,True,1.8,1.0,inconsistent,True,False,False,kaggle_training
d6542281,3,2,2,24,24,576,24,24,576,9,9,False,False,12.8,20.0,same,True,False,True,kaggle_training
d687bc17,3,1,1,14,17,238,14,17,238,8,8,False,False,12.25,4.0,same,True,False,False,kaggle_training
d6ad076f,3,1,1,10,10,100,10,10,100,8,9,True,False,2.0,3.0,same,False,False,False,kaggle_training
d6e50e54,3,1,1,16,16,256,16,16,256,3,3,True,True,6.0,6.0,same,True,False,False,kaggle_training
d749d46f,3,1,1,6,16,80,10,25,250,7,7,False,False,6.75,12.0,larger,True,False,True,kaggle_training
d753a70b,3,1,1,16,16,256,16,16,256,5,5,False,False,30.0,29.75,same,False,False,False,kaggle_training
d89b689b,3,1,1,10,10,100,10,10,100,10,9,False,True,5.0,4.0,same,False,False,False,kaggle_training
d8c310e9,3,1,1,5,15,75,5,15,75,6,6,False,False,6.5,10.75,same,False,False,False,kaggle_training
d90796e8,3,1,1,7,9,63,7,9,63,4,5,True,False,9.25,7.0,same,True,False,False,kaggle_training
d931c21c,4,1,1,30,30,900,30,30,900,2,4,True,False,3.6,7.0,same,True,False,True,kaggle_training
d93c6891,3,1,1,16,18,288,16,18,288,4,4,False,False,7.0,4.5,same,True,False,False,kaggle_training
d94c3b52,3,1,1,17,25,425,17,25,425,3,4,True,False,34.75,34.75,same,False,False,True,kaggle_training
d968ffd4,3,2,2,22,17,102,22,17,102,6,6,False,False,3.0,4.6,same,True,False,True,kaggle_training
d9f24cd1,2,1,1,10,10,100,10,10,100,3,3,False,False,5.667,5.667,same,False,True,False,kaggle_training
d9fac9be,4,1,1,12,12,144,1,1,1,6,4,False,True,16.8,1.0,smaller,False,False,False,kaggle_training
da2b0fe3,3,2,2,10,10,100,10,10,100,5,6,True,False,2.0,3.0,same,False,False,False,kaggle_training
da6e95e5,3,2,2,30,30,900,4,5,20,8,6,False,True,30.6,4.8,smaller,True,False,True,kaggle_training
dae9d2b5,5,2,2,3,6,18,3,3,9,3,2,True,True,3.857,1.714,smaller,False,False,False,kaggle_training
db118e2a,4,1,1,9,9,81,15,15,225,8,8,False,False,12.0,16.2,larger,False,False,False,kaggle_training
db3e9e38,2,1,1,9,9,81,9,9,81,2,3,True,False,1.0,7.667,same,True,True,False,kaggle_training
db615bd4,3,1,1,25,25,625,25,25,625,6,6,False,False,168.5,111.25,same,False,False,True,kaggle_training
db7260a4,5,1,1,10,10,100,10,10,100,3,3,False,False,2.833,2.833,same,False,False,False,kaggle_training
db93a21d,4,1,1,30,30,900,30,30,900,2,4,True,False,3.0,7.8,same,True,False,True,kaggle_training
dbc1a6ce,4,1,1,19,21,399,19,21,399,2,3,True,False,11.2,17.0,same,True,False,True,kaggle_training
dc1df850,3,1,1,10,10,100,10,10,100,7,8,True,False,3.5,5.25,same,True,False,False,kaggle_training
dc2aa30b,3,1,1,11,11,121,11,11,121,3,3,False,False,30.75,30.75,same,False,False,False,kaggle_training
dc2e9a9d,3,1,1,28,29,812,28,29,812,2,4,True,False,3.0,6.0,same,True,False,True,kaggle_training
dc433765,7,2,2,11,11,121,11,11,121,3,3,False,False,2.0,2.0,same,True,False,False,kaggle_training
dc46ea44,3,1,1,11,11,121,11,11,121,6,6,False,False,7.75,7.25,same,False,False,False,kaggle_training
dce56571,3,1,1,11,28,308,11,28,308,5,5,False,False,5.5,2.25,same,True,False,True,kaggle_training
dd2401ed,4,1,1,7,15,105,7,15,105,4,4,False,False,12.4,12.4,same,False,False,False,kaggle_training
ddf7fa4f,3,1,1,10,10,100,10,10,100,10,9,False,True,6.0,6.0,same,False,False,False,kaggle_training
de1cd16c,4,1,1,18,19,342,1,1,1,8,4,False,True,10.4,1.0,smaller,False,False,False,kaggle_training
